2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXBTCD-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXBTC-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXBCHD-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXAVAXD-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.439 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXAVAX-26MAR1521 strikes in 25.9m, skipping
2026-03-15 17:34:04.440 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXXRP15M-26MAR152045 strikes in 10.9m, skipping
2026-03-15 17:34:04.440 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXSOL15M-26MAR152045 strikes in 10.9m, skipping
2026-03-15 17:34:04.440 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXETH15M-26MAR152045 strikes in 10.9m, skipping
2026-03-15 17:34:04.440 | INFO     | src.brokers.kalshi.client:get_events:163 | Event KXBTC15M-26MAR152045 strikes in 10.9m, skipping
2026-03-15 17:34:04.448 | INFO     | src.brokers.kalshi.client:get_events:215 | Retrieved 4491 total events, returning top 150 by 24h volume
2026-03-15 17:34:04.496 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXELONMARS-99: volume 0 < min 1000
2026-03-15 17:34:04.496 | INFO     | src.strategies.filters:filter_markets:124 | Event KXELONMARS-99: 0/1 markets passed filters
2026-03-15 17:34:04.498 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEWPOPE-70-FAMB: volume 0 < min 1000
2026-03-15 17:34:04.498 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEWPOPE-70-MZUP: volume 0 < min 1000
2026-03-15 17:34:04.498 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEWPOPE-70-PPIZ: volume 0 < min 1000
2026-03-15 17:34:04.498 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEWPOPE-70-PERD: volume 0 < min 1000
2026-03-15 17:34:04.498 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEWPOPE-70-PPAR: volume 0 < min 1000
2026-03-15 17:34:04.498 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEWPOPE-70-AARB: volume 0 < min 1000
2026-03-15 17:34:04.498 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEWPOPE-70-LANT: volume 0 < min 1000
2026-03-15 17:34:04.498 | INFO     | src.strategies.filters:filter_markets:124 | Event KXNEWPOPE-70: 0/7 markets passed filters
2026-03-15 17:34:04.503 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXWARMING-50: volume 0 < min 1000
2026-03-15 17:34:04.503 | INFO     | src.strategies.filters:filter_markets:124 | Event KXWARMING-50: 0/1 markets passed filters
2026-03-15 17:34:04.503 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXMARSVRAIL-50: volume 0 < min 1000
2026-03-15 17:34:04.503 | INFO     | src.strategies.filters:filter_markets:124 | Event KXMARSVRAIL-50: 0/1 markets passed filters
